时间,波形名称,谐波次数,谐波值
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关C相电流I_L3,6,0.0011192085182359776
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关C相电流I_L3,7,0.00119222098667628
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关C相电流I_L3,8,0.001213237941391547
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关C相电流I_L3,9,0.0014370000057740734
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关C相电流I_L3,10,0.0014681264622890785
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关零序电流I_3I0,1,0.0011834492379668674
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关零序电流I_3I0,2,0.0011496590838298254
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关零序电流I_3I0,3,0.00110657468406268
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关零序电流I_3I0,4,0.0011762838998906323
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关零序电流I_3I0,5,0.0011594573733819712
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关零序电流I_3I0,6,0.0011202299313997535
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关零序电流I_3I0,7,0.0011444778595813283
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关零序电流I_3I0,8,0.0011284407169744773
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关零序电流I_3I0,9,0.001406116047470233
2024-03-25 04:54:09,822B极Ⅱ低端换流变进线开关零序电流I_3I0,10,0.0013443929215799532
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管A相电流Iac_Y_0_L1,1,0.0013230399458365055
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管A相电流Iac_Y_0_L1,2,0.0012410484731078635
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管A相电流Iac_Y_0_L1,3,0.0011840681822671212
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管A相电流Iac_Y_0_L1,4,0.0013849927205483697
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管A相电流Iac_Y_0_L1,5,0.0011590010714715331
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管A相电流Iac_Y_0_L1,6,0.0011585050946387107
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管A相电流Iac_Y_0_L1,7,0.0012235532800887502
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管A相电流Iac_Y_0_L1,8,0.001206580294759352
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管A相电流Iac_Y_0_L1,9,0.0010905003136008405
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管A相电流Iac_Y_0_L1,10,0.0013438638551527726
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管B相电流Iac_Y_0_L2,1,0.0011212288224845897
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管B相电流Iac_Y_0_L2,2,0.0012093245033509316
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管B相电流Iac_Y_0_L2,3,0.001101662737571688
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管B相电流Iac_Y_0_L2,4,0.0010764401723134538
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管B相电流Iac_Y_0_L2,5,0.0011532385372387338
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管B相电流Iac_Y_0_L2,6,0.0011512083312342075
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管B相电流Iac_Y_0_L2,7,0.001240373164593656
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管B相电流Iac_Y_0_L2,8,0.0010668046811182631
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管B相电流Iac_Y_0_L2,9,0.0012572537587557371
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管B相电流Iac_Y_0_L2,10,0.001589159525998993
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管C相电流Iac_Y_0_L3,1,0.001287599536777696
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管C相电流Iac_Y_0_L3,2,0.0011350386784907056
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管C相电流Iac_Y_0_L3,3,0.0010553605583880567
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管C相电流Iac_Y_0_L3,4,0.001228897827956519
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管C相电流Iac_Y_0_L3,5,0.0012221740661647151
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管C相电流Iac_Y_0_L3,6,0.0011807706551229017
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管C相电流Iac_Y_0_L3,7,0.0011372629008425256
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管C相电流Iac_Y_0_L3,8,0.0012617161875492133
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管C相电流Iac_Y_0_L3,9,0.0011561643664256235
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管C相电流Iac_Y_0_L3,10,0.0015888262860141293
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管电流Iac_Y_0_ 3Io,1,0.0019812816582088317
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管电流Iac_Y_0_ 3Io,2,0.002269300534502113
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管电流Iac_Y_0_ 3Io,3,0.001962497893175382
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管电流Iac_Y_0_ 3Io,4,0.002276830596466343
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管电流Iac_Y_0_ 3Io,5,0.001959294042904482
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管电流Iac_Y_0_ 3Io,6,0.00198662424279296
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管电流Iac_Y_0_ 3Io,7,0.0019579451372030688
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管电流Iac_Y_0_ 3Io,8,0.0018421425403478925
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管电流Iac_Y_0_ 3Io,9,0.0020339453182724072
2024-03-25 04:54:09,8221B极Ⅱ低端换流变星接网侧末端套管电流Iac_Y_0_ 3Io,10,0.0028110002945561994
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏A相电压UVD1_L1,1,0.10935488540343136
